,Ticker,Year,MarketCap,TrailingPE,PriceToBook,PriceToSales,ReturnOnEquity,ReturnOnAssets,DebtToEquity,CurrentRatio,ProfitMargin,EpsGrowth5Y,RevenueGrowth,EpsGrowthYoY,Unnamed: 0
2,AAON,2022,3992536223.5894775,39.775805208311525,7.1204503964400345,4.492113106375736,0.179014613510631,0.1233267354955074,0.4515474912343904,,0.1129358182153674,-0.686,-0.2393886957667746,-0.4348930037213649,
3,AAON,2021,3947784312.0928345,67.18717982390201,8.4685507692319,7.385703938495566,0.1260441469850054,0.0903718970131348,0.3947272454254885,,0.1099272801426334,-0.686,-0.3986001161131788,-0.4146210249462023,
0,AAPL,2024,3616195382496.281,38.57851180438979,63.497724012226186,9.247753736868264,1.6459350307287095,0.2568250315085758,5.408779631255487,,0.2397125576994386,0.078,,,
1,AAPL,2023,2745111168425.5312,28.30157398242725,44.1719687256707,7.16206261248296,1.5607601454639075,0.2750983456377647,4.673462491552152,,0.2530623426432028,0.078,-0.0198191977700205,0.0347678586668942,
2,AAPL,2022,1919036503046.8125,19.228244672472897,37.871733956560085,4.866599640519599,1.969588727502368,0.2829244092925685,5.961536943479634,,0.2530964070519973,0.078,0.0288114588361141,0.0289499458734986,
3,AAPL,2021,2523964199341.5,26.657839029800385,40.00577269522111,6.899526810786541,1.5007132667617689,0.2697420527518361,4.563512442542399,,0.2588179335569424,0.078,-0.0723027530380799,-0.0513311223109525,
0,ABBV,2024,309496616015.625,72.34610005040322,93.08168902725563,5.49395775225663,1.2866165413533834,0.0316511419714266,39.64992481203007,,0.0759399297049739,-0.063,,,
1,ABBV,2023,271500445312.5,55.829826303207895,26.206606690395752,4.998351288937369,0.4694015444015444,0.0360995018966528,12.00299227799228,,0.0895283331492323,-0.063,-0.0357865587389498,0.1367461430575035,
2,ABBV,2022,259913216015.625,21.95954849743368,15.063939725027527,4.477094016185362,0.6859858583516866,0.0852707035049169,7.044801205517561,,0.2038791470010679,-0.063,0.0687801465444235,1.433888546164919,
3,ABBV,2021,208724892187.5,18.083944913143306,13.54652727073598,3.714164318157553,0.7490913811007269,0.0787693903595875,8.509929906542055,,0.2053846290727263,-0.063,-0.03198745995108,-0.0248394727948631,
0,ABG,2024,4757329915.991211,11.05584456423707,1.3584608555086268,0.2767723907701157,0.1228726442033124,0.0416271645545129,1.951741861793261,,0.0250340341854484,-0.069,,,
1,ABG,2023,4109755819.995117,6.821171485469074,1.2668400542508298,0.277635554324219,0.185721771831941,0.0593046833474417,2.131654387965846,,0.0407020340883757,-0.069,-0.1388071163445539,0.400185916802231,
2,ABG,2022,3622011115.991211,3.631817021950477,1.2475497247928946,0.2346789285916852,0.3435056659663142,0.1243299174707657,1.7628560603451244,,0.0646174978456514,-0.069,0.0426408695710917,0.6552697095435684,
3,ABG,2021,3443702028.0029297,6.468260758833452,1.6278430763426754,0.3500515392828537,0.2516662727487591,0.0665283782770599,2.7828409359489483,,0.0541183406690588,-0.069,-0.3625914383273184,-0.4661586282964002,
0,ABNB,2024,56453540824.34473,21.319313000130183,6.711072375694808,5.084988364650038,0.3147883975273419,0.1263419056252683,1.4915596766524013,,0.2385155827778778,-0.395,,,
1,ABNB,2023,60221424300.66211,12.567075187951191,7.375557170932285,6.072544549829798,0.5868952847519902,0.2321143133930734,1.528475199020208,,0.483210648381567,-0.395,-0.1067375247703116,0.8096676737160121,
2,ABNB,2022,38516160130.15869,20.346624474463123,6.9273669298846565,4.585803087291189,0.3404676258992806,0.1180321735877291,1.8845323741007196,,0.2253839742826527,-0.395,-0.1530704850257134,-0.6049666110183639,
3,ABNB,2021,71667510760.34473,-203.6008828418884,15.008902777035544,11.960532503395315,-0.073717277486911,-0.0256784359498103,1.870785340314136,,-0.0587449933244325,-0.395,-0.286581735920943,-1.1859482303222395,
0,ABSI,2024,410739983.64949226,-3.983667135273333,2.2929330924480262,90.59108593945572,-0.5755835049934964,-0.4826879143103255,0.1924547682448237,,-22.740626378473756,,,,
1,ABSI,2023,524267507.0309639,-4.7416701972664645,2.975816836748274,91.68721703934312,-0.6275883207701389,-0.5088219863965614,0.2334143129597675,,-19.336481287163345,,0.2611380679311866,-0.0723527243807344,
2,ABSI,2022,309968378.51548195,-2.9547813097258637,1.1295647398291704,53.93568444675169,-0.3822837027265373,-0.3267955938792802,0.1697945440101452,,-18.25369758134679,,0.0050717033927946,0.0512092324946185,
3,ABSI,2021,917149217.2989844,-9.084283055655552,2.505139801476029,191.7919735045973,-0.2757663743113352,-0.2368868710332125,0.164126880939179,,-21.1125052279381,,-0.1679136941012702,0.0375962785022496,
0,ABT,2024,196827297985.83984,14.68641232546186,4.129475033271229,4.691949892391891,0.2811765693185633,0.1646154224089223,0.7080815709969789,,0.3194755661501788,0.086,,,
1,ABT,2023,190408877009.2773,33.270815483011944,4.932489107304545,4.747285572048103,0.1482527264720358,0.0781681099243314,0.8965883480558506,,0.1426861801590665,0.086,-0.0438855780691299,-0.5729741829577675,
2,ABT,2022,185714008925.78125,26.78696219901648,5.062258325404276,4.254324076828196,0.1889821730360355,0.0931379134313119,1.0290574060949682,,0.1588206996082743,0.086,0.0883592211224413,0.2114275729512493,
3,ABT,2021,220774920227.0508,31.22258806774866,6.1665527128945525,5.125360887453297,0.1975029327970504,0.0940342571413373,1.100329590525669,,0.1641555426581543,0.086,-0.0132407852839438,0.0199048031155344,
0,ACA,2024,4631657281.305695,49.43070737786227,1.907444725024996,1.8022714040646308,0.0385882546742442,0.0190621503407588,1.024339016555473,,0.036460562667808,-0.4,,,
1,ACA,2023,3805516147.789765,23.90399590320204,1.6318679879029865,1.6489085956019605,0.0682675814751286,0.0444953743816205,0.5342624356775301,,0.0689804584254083,-0.4,-0.10194949219814,0.6990394877267876,
2,ACA,2022,2586866151.440811,10.5242723817771,1.1842456287496848,1.1534091989659403,0.1125251785387291,0.0735795964796743,0.5292986632484893,,0.1095951489209916,-0.4,-0.0282074613284804,0.5439698492462312,
3,ACA,2021,2481199548.0804443,35.649418794259255,1.270260353289533,1.2184244490671992,0.0356320073721394,0.0218311847181706,0.6321609583781294,,0.0341779611078373,-0.4,-0.092027822364901,-0.7168429617575265,
0,ACCO,2024,443765385.63648987,-4.367769543666239,0.7321652955559972,0.2663338048472511,-0.1676291041082329,-0.0455932507628792,2.676621019633724,,-0.0609770735806025,,,,
1,ACCO,2023,515552196.63591,-23.64918333192248,0.655085383273075,0.281292119508899,-0.027700127064803,-0.0082425892316999,2.3606099110546377,,-0.0118943692710606,,0.0999879966390589,0.7854330708661418,
2,ACCO,2022,454570350.8267517,-34.43714778990543,0.5611286888368741,0.2334002622852493,-0.0162942846562152,-0.0047232261065588,2.4498210097518824,,-0.006777572396796,,0.0626364033173286,0.3944954128440367,
3,ACCO,2021,614576437.232193,6.031172102376772,0.7106573048475867,0.3034495814112442,0.1178307123034227,0.0329634781483518,2.5745837187789085,,0.0503135337974621,,0.0398952556993222,8.719696969696969,
0,ACDC,2024,1222158158.3309174,-5.68181384626182,1.2137830552496944,0.5578338392126146,-0.2136259807329427,-0.0719855426525216,1.967623398550005,,-0.0981788306175544,,,,
